FID,the_geom,OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,PROVINCE10,PROVINCE_1,Shape_Leng,Source,Major_or_M,Known_or_a,Name,timeperiod,pid,en_name,Lat,Lon,featuretyp,awmc_mod,awmc_impor,awmc_class,creator,notes,timeperi_1
ba_roads_clean.11,"MULTILINESTRING ((26.316469999999754 41.241470000000845, 26.324860000000626 41.2549999999992, 26.33227000000079 41.26548999999977, 26.34399999999914 41.27341999999953, 26.361629999999423 41.276990000000296, 26.387409999999363 41.27836000000025, 26.4079099999999 41.280220000000554, 26.423800000000483 41.28656000000046, 26.43938999999955 41.29483000000073, 26.455809999999474 41.30611999999928, 26.4664300000004 41.31295999999929, 26.47848999999951 41.31895000000077, 26.493640000000596 41.330110000000786, 26.49626999999964 41.338190000000395, 26.490889999999126 41.34751999999935, 26.485819999999876 41.35491000000002, 26.48942999999963 41.36504000000059, 26.493500000000495 41.372269999999844))",681,0,0,0,0,0,0,0,0.25633053,BAmap51,1,1,,R,,,,,,0,0,0,,,
ba_roads_clean.12,"MULTILINESTRING ((26.493500000000495 41.372269999999844, 26.505670000000578 41.386689999999476, 26.507449999999153 41.39892999999938, 26.513450000000375 41.40783999999991, 26.533589999999094 41.413360000000466, 26.550069999999323 41.41854000000063, 26.558670000000347 41.42675000000065, 26.563029999999458 41.43829000000011, 26.563169999999445 41.45319000000018, 26.555990000000804 41.46743000000066, 26.54363999999987 41.483080000000086, 26.530059999999253 41.498610000000554, 26.529179999999656 41.51993000000044, 26.526149999999745 41.53919999999937, 26.523250000000132 41.55754999999954, 26.51812000000058 41.58221000000049, 26.516589999999212 41.59975999999915, 26.520239999999774 41.61590000000075, 26.52864000000045 41.63340000000062, 26.54301999999916 41.65236000000016, 26.55243999999948 41.66343000000052, 26.566979999999603 41.68146999999959, 26.547309999999925 41.68809999999945, 26.520080000000235 41.68755000000067, 26.497030000000507 41.69201000000072, 26.474749999999517 41.69932999999941, 26.443600000000515 41.70772000000028, 26.407400000000052 41.7165700000005, 26.378829999999596 41.724239999999554, 26.352989999999465 41.73027999999982, 26.32408000000038 41.73230999999953, 26.30004999999983 41.73478000000068, 26.271460000000047 41.74242000000061, 26.254960000000324 41.752080000000205, 26.2373800000006 41.760720000000276, 26.223770000000513 41.76785000000024, 26.20420000000007 41.780960000000164))",682,0,0,0,0,0,0,0,0.75365638,BAmap51,1,0,,R,,,,,,0,0,0,,,
ba_roads_clean.13,"MULTILINESTRING ((26.20420000000007 41.780960000000164, 26.20853999999963 41.79998999999964, 26.208430000000646 41.81581000000011, 26.204040000000532 41.83497, 26.201020000000426 41.85332999999997, 26.19677000000047 41.87156999999945, 26.185139999999592 41.88913999999943, 26.17396999999977 41.90395000000001, 26.15970999999996 41.91474999999991, 26.139450000000693 41.924059999999486, 26.126239999999598 41.928429999999935))",683,0,0,0,0,0,0,0,0.18453756,BAmap51,0,0,,R,,,,,,0,0,0,,,
ba_roads_clean.14,"MULTILINESTRING ((26.566979999999603 41.68146999999959, 26.587719999999536 41.67584999999963, 26.599609999999302 41.67130999999972, 26.611409999999523 41.65932000000066, 26.630839999999807 41.64614000000074, 26.65364000000045 41.63510999999926, 26.66443000000072 41.629539999999906, 26.699679999999717 41.626109999999244, 26.72147000000041 41.62148999999954, 26.749649999999747 41.61556000000019, 26.77881999999954 41.60318999999981, 26.81055000000015 41.590109999999186, 26.85507999999936 41.566029999999955, 26.880670000000464 41.55240000000049, 26.912089999999807 41.53276000000005, 26.94253000000026 41.519539999999324, 26.968070000000807 41.50589000000036, 26.996859999999288 41.486940000000686, 27.026850000000195 41.46807000000081, 27.057090000000244 41.455729999999676, 27.08107999999993 41.44378999999935, 27.08784999999989 41.43971000000056))",685,0,0,0,0,0,0,0,0.58477849,BAmap51,0,0,,R,,,,,,0,0,0,,,
ba_roads_clean.15,"MULTILINESTRING ((25.84499999999946 42.07798999999977, 25.808059999999386 42.095799999999144, 25.77143000000069 42.11169999999953, 25.737680000000296 42.125910000000715, 25.692650000000924 42.14485000000053, 25.647919999999374 42.161869999999965, 25.61052000000018 42.18152000000009, 25.572420000000477 42.20497000000074, 25.536669999999617 42.21506000000056, 25.49286000000029 42.226269999999204, 25.44132000000002 42.23669999999959, 25.37573999999961 42.23792999999938, 25.32007999999945 42.242060000000606, 25.27642999999989 42.23766000000069, 25.25483999999966 42.24129999999968))",687,0,0,0,0,0,0,0,0.63854363,BAmap22,0,0,,RL,,,,,,0,0,0,rbelange,,
ba_roads_clean.16,"MULTILINESTRING ((25.34793000000002 42.63563000000073, 25.34058999999985 42.675740000000644, 25.330289999999934 42.717520000000206, 25.32810000000063 42.758159999999464, 25.32850999999937 42.79905999999937, 25.33200000000039 42.85195999999996, 25.350259999999366 42.89659000000029, 25.363900000000342 42.92324999999994, 25.377360000000408 42.96545999999955, 25.385969999999418 43.00525000000022, 25.384369999999706 43.02844999999991, 25.379660000000626 43.039670000000115, 25.374390000000858 43.0683599999993, 25.357969999999227 43.09984000000088, 25.345349999999712 43.13948999999951, 25.330089999999586 43.178879999999594, 25.325230000000488 43.210380000000555, 25.322360000000174 43.24784000000005, 25.323319999999512 43.28557000000012, 25.328079999999318 43.338869999999645, 25.323710000000688 43.36267000000049, 25.309999999999434 43.38361000000077, 25.28048999999919 43.41502000000048, 25.24623000000065 43.46164999999934, 25.226239999999905 43.495919999999444, 25.190080000000307 43.537800000000175, 25.14533999999918 43.589190000000656))",688,0,0,0,0,0,0,0,0.56662447,BAtlas_22,0,0,,RL,,,,,,0,0,0,rbelange,,
ba_roads_clean.17,"MULTILINESTRING ((25.63993999999923 43.216860000000395, 25.688860000000147 43.196219999999926, 25.709899999999834 43.18265000000065, 25.73648999999932 43.167659999999216, 25.77715999999964 43.148150000000896, 25.813239999999553 43.12430999999924, 25.86362000000014 43.10958000000028, 25.901579999999853 43.08978000000036, 25.94375000000042 43.076199999999574, 25.980659999999375 43.06211000000087, 26.015279999999677 43.04586000000012, 26.050199999999677 43.043240000000935, 26.07956000000013 43.026480000000504, 26.12781999999976 43.00756000000001, 26.14537999999999 42.98193999999978, 26.176579999999376 42.93810999999914, 26.210279999999386 42.878969999999754, 26.26757000000009 42.804469999999185, 26.28113999999914 42.78626000000082, 26.28429999999946 42.76712000000043, 26.279990000000964 42.74536000000086, 26.289300000000367 42.72095000000087, 26.307709999999133 42.70512000000065, 26.336799999999073 42.6882999999998, 26.358410000000788 42.66886999999963, 26.37089000000026 42.64085999999946, 26.396510000000546 42.5965400000004, 26.40987999999919 42.56279000000001, 26.4426899999998 42.53852000000006, 26.47712999999942 42.5202100000007, 26.514750000000276 42.4982899999996, 26.53012999999919 42.48411999999922, 26.541549999999972 42.461839999999995, 26.545400000000882 42.388460000000066, 26.543929999999875 42.332080000000246, 26.540929999999264 42.28527000000037, 26.53763000000066 42.24039000000096, 26.530860000000814 42.20101000000068))",690,0,0,0,0,0,0,0,1.50850564,BAmap22,0,0,,RL,,,,,,0,0,0,rbelange,,
ba_roads_clean.18,"MULTILINESTRING ((25.66938999999911 43.45413999999988, 25.663679999999715 43.481359999999825))",690,0,0,0,0,0,0,0,1.50850564,BAmap22,0,0,,RL,,,,,,0,0,0,rbelange,,
ba_roads_clean.19,"MULTILINESTRING ((27.69757000000027 42.41266999999965, 27.692750000000274 42.399400000000185, 27.69643999999971 42.37261000000029, 27.7126499999996 42.34835000000032, 27.727769999999566 42.33198000000084, 27.74586000000096 42.3094600000004, 27.75563999999946 42.300639999999476, 27.73681000000039 42.265799999999274, 27.738960000000645 42.25004000000092, 27.747690000000148 42.23319000000083, 27.776330000000712 42.21147000000013, 27.80538999999959 42.186589999999285, 27.86551999999938 42.13695999999982, 27.90041999999994 42.11568000000091, 27.92790000000059 42.10180000000037, 27.961040000000253 42.07718999999997, 27.987569999999437 42.037780000000566, 28.004580000000715 42.00561999999991, 28.024910000000034 41.96416999999923, 28.03555000000057 41.93156000000096, 28.04700000000048 41.892649999999776, 28.031220000000815 41.89945000000091, 28.007620000000315 41.90091000000035, 27.981050000000323 41.8926100000009, 27.96771000000075 41.86461000000054, 27.963009999999485 41.835660000000644))",691,0,0,0,0,0,0,0,2.71704711,BAtlas22,1,0,,RL,,,,,,0,0,0,rbelange,,
ba_roads_clean.20,"MULTILINESTRING ((27.712499999999636 42.66561000000007, 27.686519999999405 42.663660000000164, 27.633819999999048 42.64610999999974, 27.62297000000035 42.6297799999993, 27.610070000000746 42.60942000000068, 27.622410000000002 42.577419999999734))",698,0,0,0,0,0,0,0,0.15960395,BAtlas22,0,0,,RL,,,,,,0,0,0,rbelange,,
