ArachneEntityID,Gazetteerid
1065055,2118415
1065059,2118415
1065093,2088480
1065123,2088699
1065304,2105657
1065309,2105657
1065310,2105657
1065311,2105657
1065313,2282705
1065347,2323295
1065350,2323295
1065370,2118415
1065371,2118415
1065419,2097009
1065447,2323295
1065457,NULL
1065478,2323295
1065577,2287722
1065597,2323295
1065699,2287728
1065701,2287728
1065702,2287728
1065703,2287728
1065704,2287728
1065705,2287728
1065706,2287728
1065707,2287728
1065708,2287728
1065709,2287728
1065710,2287728
1065711,2287728
1065783,2281803
1065785,2095777
1065786,2095777
1065787,2095777
1065789,2095777
1065792,2095777
1065794,2095777
1065798,2095777
1065807,2095777
1065809,2095777
1065810,2095777
1065811,2095777
1065812,2095777
1065813,2095777
1065819,2095777
1065824,2095777
1065825,2095777
1065826,2095777
1065827,2095777
1065828,2095777
1065832,2095777
1065834,2095777
1065835,2095777
1065836,2095777
1065838,2095777
1065840,2095777
1065841,2095777
1065844,2095777
1065845,2095777
1065848,2095777
1065849,2095777
1065853,2095777
1066097,2097009
1066138,NULL
1066186,2323295
1066190,2326747
1066194,2323295
1066489,2114090
1066490,2114090
1066728,2323295
1066882,2338719
1066915,2099719
1066959,2320168
1066986,2070134
1067051,2320168
1067052,2320168
1067070,2320168
1067075,2323295
1067076,2323295
1067079,2042806
1067089,2042806
1067090,2180646
1067095,2042806
1067101,2070134
1067103,2072756
1067129,2338697
1067131,2338697
1067135,2338697
1067151,2099146
1067153,2099146
1067182,2283140
1067240,2089638
1067251,2180908
1067323,2051668
1067358,2347955
1067371,2347955
1067404,2179802
1067405,2347955
1067408,2179832
1067439,2179832
1067442,2089788
1067443,2089788
1067444,2089788
1067445,2089788
1067446,2089788
1067447,2089788
1067503,2323295
1067679,2090069
1067719,2089949
1067741,2295329
1067763,2287728
1067764,2287728
1067776,2285701
1067788,2287722
1067790,2285701
1067796,2281803
1067800,2287728
1067802,2281803
1067814,2283134
1067815,2283134
1067816,2283121
1067817,2410944
1067818,2287732
1067821,2287732
1067823,2287732
1067829,2287732
1067835,2360027
1067843,2285315
1067846,2280360
1067858,2287728
1067859,2360027
1067860,2360027
1067863,2287732
1067866,2090853
1067873,2287722
1067875,2360027
1067878,2410944
1067888,2283134
1067889,2283134
1067890,2283134
1067895,2287732
1067903,2410944
1067907,2287713
1067908,2285701
1067909,2285701
1067911,2285701
1067920,2287732
1067922,2287742
1067923,2287742
1067924,2287742
1067925,2287742
1067926,2090853
1067928,2287728
1067930,2285315
1067933,2281803
1067935,2287713
1067937,2285701
1067940,2285701
1067941,2089971
1067942,2088192
1067949,2090853
1067957,2287704
1067962,2410944
1067966,2283242
1067970,2285315
1067971,2285315
1067972,2285315
1067979,2285315
1067991,2283242
1067995,2285315
1068001,2070373
1068002,2070373
1068007,2070373
1068008,2070373
1068009,2070373
1068012,2285315
1068017,2285315
1068019,2287724
1068020,2070373
1068027,2099701
1068031,2283242
1068032,2070134
1068035,2283154
1068036,2285315
1068046,2283154
1068047,2285315
1068050,2285315
1068051,2285315
1068053,2287726
1068054,2287726
1068055,2287726
1068065,2285315
1068066,2287724
1068070,2285315
1068071,2285315
1068073,2285315
1068074,2285315
1068075,2285315
1068078,2285701
1068079,2285701
1068080,2285701
1068082,2285315
1068083,2285315
1068084,2285315
1068085,2285315
1068086,2089971
1068087,2285315
1068101,2287732
1068104,2287726
1068107,2324491
1068117,2287728
1068123,2287728
1068124,2285702
1068125,2281803
1068126,2287728
1068132,2287732
1068135,2287722
1068136,2287722
1068137,2287724
1068138,2287722
1068142,2287722
1068145,2287724
1068146,2287722
1068147,2287722
1068148,2287722
1068150,2281803
1068152,2281803
1068156,2287728
1068159,2287728
1068162,2281803
1068164,2281803
1068168,2287728
1068173,2285520
1068178,2324491
1068204,2283134
1068234,2090069
1068235,2090069
1068236,2090069
1068237,2090069
1068238,2090069
1068239,2090069
1068240,2090069
1068241,2090069
1068243,2090069
1068249,2042869
1068260,2042869
1068291,2338558
1068292,2070134
1068372,2180646
1068422,2062302
1068423,2062302
1068447,2179832
1068453,2051668
1068456,2110446
1068457,2051668
1068458,2051668
1068463,2051668
1068464,2051668
1068472,2051668
1068474,2051668
1068476,2051668
1068478,2051668
1068480,2051668
1068481,2110446
1068483,2051668
1068487,2051668
1068489,2051668
1068493,2051668
1068498,2051668
1068501,2051668
1068506,2323295
1068509,2051668
1068510,2051668
1068544,2070134
1068562,2097009
1068617,2118422
1068631,2179802
1068635,2338677
1068669,2287726
1068679,2285315
1068703,2323295
1068708,2104160
1068737,2338562
1068751,2070134
1068799,2323295
1068800,2338677
1068848,2323295
1068923,2299102
1068933,2070134
1068943,2180646
1068947,2180646
1068961,2180646
1069013,2320170
1069182,2323295
1069189,2323295
1069202,2179802
1069231,2098875
1069271,2320168
1069272,2320168
1069272,2169028
1069283,NULL
1069349,2299324
1069352,2299324
1069354,2299324
1069357,2299324
1069397,2360027
1069401,2360027
1069403,2360027
1069405,2360027
1069408,2360027
1069411,2360027
1069413,2090510
1069419,2360027
1069453,2090510
1069457,2090522
1069470,2360027
1069472,2090510
1069490,2090510
1069491,2090510
1069496,2360027
1069500,2104959
1069502,2090546
1069505,2090546
1069534,2360027
1069539,2360027
1069552,2104959
1069561,2090510
1069562,2090510
1069564,2090522
1069565,2090522
1069566,2090522
1069567,2090522
1069599,2090510
1069611,2090510
1069614,2360027
1069615,2360027
1069616,2360027
1069617,2360027
1069621,2360027
1069623,2360027
1069624,2360027
1069625,2360027
1069627,2090522
1069629,2360027
1069636,2090510
1069664,2360027
1069665,2360027
1069666,2360027
1069667,2360027
1069668,2360027
1069691,2090510
1069706,2360027
1069707,2360027
1069709,2042649
1069737,2090510
1069746,2090510
1069756,2090510
1069758,2090510
1069761,2360027
1069767,2090510
1069769,2360027
1069774,2360027
1069788,2090522
1069800,2360027
1069809,2360027
1069839,2338697
1069845,2070805
1069853,2042627
1069883,2042627
1070047,2058489
1070056,2320145
1070094,2290409
1070099,2070134
1070101,2323295
1070102,2323295
1070112,2178773
1070133,2090799
1070134,2090799
1070185,2298653
1070204,2097009
1070207,2097009
1070209,2097009
1070210,2097009
1070232,2070134
1070233,2070134
1070238,2306273
1070239,2097009
1070240,2070134
1070241,2299102
1070244,2299660
1070246,2070134
1070254,2290409
1070261,2070134
1070264,2070134
1070265,2070134
1070270,2070134
1070273,2070134
1070275,2106218
1070276,2106218
1070277,2106218
1070278,2070134
1070280,2070134
1070281,2070134
1070283,2070134
1070285,2070134
1070286,2070134
1070290,2106218
1070295,2070134
1070299,2290443
1070300,2290443
1070302,2287728
1070305,2283242
1070307,2106218
1070308,2106218
1070309,2106218
1070311,2106218
1070313,2287728
1070317,2287728
1070329,2360027
1070330,2296338
1070332,2287765
1070333,2287765
1070335,2287765
1070336,2287765
1070337,2287765
1070338,2287765
1070339,2287765
1070340,2287765
1070341,2287765
1070385,2287724
1070386,2287724
1070387,2287724
1070388,2287724
1070396,2287728
1070397,2287728
1070398,2287728
1070399,2287728
1070400,2287728
1070401,2287728
1070402,2287728
1070403,2287728
1070416,2287728
1070420,2287728
1070421,2287728
1070422,2287728
1070423,2287728
1070424,2287728
1070425,2287728
1070426,2287728
1070427,2287728
1070428,2287728
1070429,2287728
1070430,2287728
1070431,2287728
1070432,2287728
1070433,2287728
1070434,2287728
1070435,2287728
1070436,2287728
1070437,2287728
1070438,2287728
1070439,2287728
1070440,2287728
1070441,2287728
1070442,2287712
1070443,2287712
1070444,2287712
1070445,2287712
1070446,2287712
1070447,2287712
1070448,2287712
1070450,2287712
1070451,2287712
1070452,2287712
1070453,2360027
1070454,2360027
1070489,2360027
1070520,2360027
1070522,2360027
1070528,2360027
1070529,2360027
1070530,2360027
1070532,2360027
1070545,2360027
1070546,2360027
1070547,2360027
1070548,2360027
1070549,2360027
1070550,2360027
1070551,2360027
1070552,2360027
1070553,2360027
1070554,2360027
1070555,2360027
1070556,2360027
1070557,2360027
1070558,2360027
1070559,2360027
1070560,2360027
1070561,2360027
1070562,2360027
1070563,2360027
1070564,2360027
1070565,2360027
1070566,2360027
1070567,2360027
1070568,2360027
1070569,2360027
1070570,2360027
1070585,2347955
1070587,2070134
1070589,2287728
1070593,2323295
1070595,2093799
1070607,2323295
1070612,2323295
1070625,2323295
1070629,2345168
1070630,2345168
1070634,2070373
1070636,2287728
1070637,2097009
1070654,2070373
1070666,2070134
1070680,2180646
1070721,2097009
1070732,2180639
1070733,2180639
1070734,2180639
1070737,2323295
1070747,2094882
1070749,2042806
1070751,2287728
1070754,2180646
1070787,2338677
1070789,2323295
1070800,2323295
1070802,2338719
1070811,2044177
1070813,2070134
1070819,2276028
1070829,2338677
1070860,2042806
1070868,2299102
1070872,2338677
1070873,2070373
1070875,2287728
1070876,2042806
1070886,2347955
1070892,2323295
1070897,2179802
1070919,2287732
1070921,2070134
1070927,2070373
1070928,2070373
1070930,2070373
1070934,2070373
1070951,2070373
1070953,2307623
1070959,2287728
1070960,2290443
1070970,2295310
1070971,2323295
1070977,2097009
1070983,2070134
1070984,2179802
1070986,2179802
1070988,2070373
1070990,2106218
1070991,2106218
1070992,2106218
1070993,2106218
1070994,2106218
1070997,2323295
1070999,2125512
1071021,2180646
1071033,2180646
1071061,2287728
1071062,2287728
1071063,2070373
1071069,2338719
1071084,2180639
1071099,2104909
1071103,2094986
1071109,2101087
1071110,2070134
1071115,2070373
1071132,2360027
1071141,2287728
1071156,2097292
1071160,2298928
1071176,2042806
1071189,2097009
1071234,2360027
1071287,2323295
1071352,2178773
1071385,2180915
1071435,2044193
1071436,2044193
1071437,2044193
1071438,2044193
1071441,2044193
1071442,2044193
1071443,2044193
1071444,2044193
1071445,2044193
1071446,2044193
1071447,2044193
1071448,2044193
1071543,2338697
1071544,2338697
1071548,2299667
1071549,2281922
1071551,2281922
1071554,2080762
1071603,2323295
1071627,2094099
1071628,2094099
1071765,2359920
1071772,2092607
1071778,2070134
1071779,2070134
1071787,2070134
1071828,2361217
1071844,2091570
1071885,2091248
1071961,2323295
1071969,2359873
1071970,2359873
1071979,2359873
1071983,2359873
1071996,2097009
1072032,NULL
1072033,2052457
1072090,2323295
1072136,2108195
1072138,2108195
1072190,2091507
1072203,2178784
1072227,2042869
1072228,2283140
1072287,2091570
1072288,2091570
1072341,2077057
1072366,2287722
1072367,2287722
1072368,2287722
1072377,2122361
1072383,2324492
1072384,2324492
1072385,2324492
1072386,2324492
